Link to More Information," Project Name 
(Number/Year Loan Approved)  
and Description",A/Ma,RE or EE,Share of CE Component,"Project Life
(Years)b","Annual Energy Savings
(MWh)b",Annual Energy Produced (MWh)b,"Renewable Capacity Added
(MW)b",Annual GHG Emission Avoided (ton of CO2 Equivalent)b,Target Resultsb,"Total Project Cost
($ million)",Loan Approval ($ million)c,"Eligibility for Green Bonds
($ million)d","Allocated Amount 
($ million)e"," Reflow Amount 
($ million)f "
https://www.adb.org/projects/53192-001/main#project-pds,India: Bengaluru Smart Energy Efficient Power Distribution Project (4028/FY2020). Convert overhead distribution lines to underground cables and install automated ring main units adapted with a distribution automation system (DAS) in urban Bengaluru city.,A and M,EE,26.3%,…,losses down to 9.1%,…,…,"113,653","• 7,200 km of 11-kV and 1.1-kV overhead distribution lines converted to underground cables, with 2,800 km of optical fiber cables, by 2025.
• 1,700 automated ring main units installed adapted with a distribution automation system by 2025.
• Operation and maintenance manual for underground cables, reflecting international good practices, developed by 2025.
• Environmental and social management system developed and adopted by the management of Bengaluru Electricity Supply Company Limited, and at least three relevant staff trained to implement the system by 2025.",277.30,100.00,26.30,25.64, (2.09)
https://www.adb.org/projects/49423-006/main#project-pds,"Bangladesh: Bangladesh Power System Enhancement and Efficiency Improvement Project, Additional Financing (4039-4040/FY2020). Further improve distribution network in rural areas of Bangladesh over the original project.",M,EE,3.9%,…,"lower transmission losses from 3% to 2.5%, and distribution losses from 12.5% to 9%",…,…,"68,727","• About 1,100,000 new connections, including 1,025,000 rural households, connected to electricity network and benefiting at least 875,000 women by 2026.
• Average system interruption duration index for Dhaka Electric Supply Company Limited-operated part of Dhaka city decreased by at least 25% by 2026.
• Average system interruption duration index for Bangladesh Rural Electrification Board decreased by at least 22% by 2026.
• Transmission losses reduced to 2.5% by 2026.
• Rural distribution losses reduced to 9.0% by 2026.
• Tariffs reviewed annually and reset to increasingly cover costs of transmission and distribution utilities as per approved regulations.
• About 174 km of 400-kV transmission lines and associated facilities constructed by 2025.
• Distribution automation system in Dhaka city installed by 2025.
• More than 38,000 km of 33-kV and 11-kV distribution lines and associated facilities rehabilitated by 2025.
• More than 15,990 km of 33-kV and 11-kV distribution lines and associated facilities with elders, women, children, and people with disability (EWCD) designs by 2025.
",313.50,200.00,7.80,2.10, (0.03)
https://www.adb.org/projects/54107-001/main#project-pds,Nepal: Electricity Grid Modernization Project (4014/FY2020). Finance high-priority electricity grid modernization investments both in transmission and distribution systems in Nepal.,A and M,EE,58.1%,…,system losses reduced to 15%,…,…,"34,716","• By March 2026, 34 existing grid substations throughout the country automated.
• By March 2026, 25 km of 220 kV and 88 km of 132-kV new transmission lines constructed.
• New automated 220-kV grid substations totaling 400 MVA in Lapang and Rahughat; and 132 kV totaling 361.5 MVA installed in Borang, Dandakhet, Keraun, Lapang, Madichaur, Pangtang, and Rahughat by March 2026.
• Existing 144 km of transmission lines (132 kV and 66 kV) upgraded with more efficient high-temperature low-sag conductors in Province 1, Province 2, and Bagmati Province by March 2026.
• Distribution command and control center in Kathmandu commissioned with at least 30% female staff by March 2026.
• New smart meters for 350,000 customers in Kathmandu Valley installed by March 2026.
• Distribution system consisting of 30 km of 33-kV distribution lines in Morang district and four automated substations of 32 MVA 33/11 kV in various parts the country commissioned, benefiting 134,000 households with improved supply by March 2026.
",195.00,156.00,90.70,31.50, (0.98)
https://www.adb.org/projects/53192-003/main#project-pds,India: Bengaluru Smart Energy Efficient Power Distribution Project (4024/FY2020). Convert overhead distribution lines to underground cables and install automated ring main units adapted with a distribution automation system (DAS) in urban Bengaluru city.,A and M,EE,26.3%,…,…,…,…,"113,653","• 7,200 km of 11 kV and 1.1 kV overhead distribution lines converted to underground cables, with 2,800 km of optical fiber cables, by 2025.
• 1,700 automated ring main units installed adapted with a distribution automation system by 2025.
• Operation and maintenance manual for underground cables, reflecting international good practices, developed by 2025.
• Environmental and social management system developed and adopted by the management of Bengaluru Electricity Supply Company Limited, and at least three relevant staff trained to implement the system by 2025.",277.30,90.00,23.70,0.01, (0.14)
https://www.adb.org/projects/52287-001/main#project-pds,"Cambodia: Prime Road National Solar Park Project (4048/FY2021). Support the Prime Road Alternative (Cambodia) Co. Ltd to develop and operate a 60-MW, alternating current, solar photovoltaic power plant in Kampong Chhnang Province. ",M,RE,100.0%,…,…," 135,000 ",60,"110,700","By 2023, annual amount of emission reductions achieved: 110,700 tons of carbon dioxide (2020
baseline: 0).",41.20,4.80,4.80,4.70, (0.94)
https://www.adb.org/projects/55340-001/main,Azerbaijan: ALAT Solar Power (Masdar Azerbaijan Energy Ltd. Liability Co.) (4182/FY2022). Construct a 230-MW solar photovoltaic power plant near Alat settlement.,M,RE,100.0%,…,…," 558,000 ",230,"255,400","• By 2024, 230 MW solar power capacity installed (2021 baseline: 0).",not disclosedh,35.70,35.70,0.00, -   
https://www.adb.org/projects/55248-002/main,"Uzbekistan: Zarafshan Wind Power Project (4197/FY2022). Provide long-term financing for a 500-MW, grid-connected wind power project. It will consist of 111 wind turbines, each with 4.7-MW capacity.",M,RE,100.0%,…,…,…,500,"892,137","• By 2026, annual emission of at least 892,137 tCO2 avoided (2021 baseline: 0).
• By 2025, at least 500 MW of wind power plant constructed and commissioned (2021 baseline: 0).",not disclosedh,65.00,65.00,0.00, -   
https://www.adb.org/projects/55205-001/main,Lao People's Democratic Republic: Monsoon Wind Power Project (4243/FY2022). Construct a wind power project with a contracted capacity of 600 MW in Lao People's Democratic Republic (Lao PDR) that will export and sell electricity into neighboring Viet Nam.,M,RE,100.0%,25,n/a,"1,519,000",600,"748,867","By 2026:
• wind energy generation capacity increased to 600 MW (2022 baseline: 0).
• 500-kV transmission line with length of 22 km within the Lao PDR to Viet Nam border established (2022 baseline: 0). ",946.50,100.00,100.00,0.00, -   
https://www.adb.org/projects/53206-001/main,Viet Nam: AC Energy Wind Project (4240/FY2022). Construct an 88-MW wind farm in Ninh Thuan P+A90rovince. ,M,RE,100.0%,…,…," 240,280 ",88,"118,458","By 2023: 
•  Electricity delivered to offtaker increased to 240.28 GWh per year (2020 baseline: 0).b 
•  Annual greenhouse gas emissions of 118,458 tCO2e avoided (2020 baseline: 0).
By 2023 unless otherwise stated: 
• Total installed wind electricity generation capacity of the project increased to 88 MW by September 2021 (2020 baseline: 0).
•  220-kV transmission line installed increased by 3 km by September 2021 (2020 baseline: 0).
",not disclosedh,35.00,35.00,0.00, -   
https://www.adb.org/projects/54142-001/main,Bhutan: Renewable Energy for Climate Resilience Project (4231/FY2022). Construct one solar photovoltaic power plant located in central-west Bhutan with a minimum total capacity of 17.38 MWp. ,A,RE,100.0%,…,…," 25,000 ",17.38,0,"By 2026:
•  25 GWh of solar power generated annually (2020 baseline: 0 GWh).
By 2025:
•  One solar photovoltaic power plant with total capacity of 17.38 MWp of power commissioned in central-west Bhutan, and connected to the grid (2020 baseline: 0 MW).",19.25,8.26,8.26,3.28, -   
https://www.adb.org/projects/55136-001/main,Uzbekistan: Jizzakh Solar Power Project (4303/FY2023). Construct a 220-MW grid-connected solar power plant and associated infrastructure in the Jizzakh region.,M,RE,100.0%,…,…," 573,000 ",220,"319,505","By 2026:
•  Electricity delivered to offtaker increased by 573 gigawatt-hours per year (2022 baseline: 0).
•  Emissions of carbon dioxide reduced by 319,505 tons per year (2022 baseline: 0) (OP 3.1).
•  Total installed solar electricity generation capacity of the project increased by 220 megawatts (2022 baseline: 0) (OP 3.1.4).
•  15-kilometer feeder line and 220-kilovolt substation constructed to connect the solar plant to the grid (2022 baseline: 0).",206.50,32.60,32.60,0.00, -   
https://www.adb.org/projects/55101-001/main,Uzbekistan: Sherabad Solar Power Project (4301/FY2023). Construct a 457-MW grid-connected solar power plant and associated infrastructure in the Sherabad region.,M,RE,100.0%,…,…," 1,063,000 ",457,"592,850","By 2026
•  Total installed solar electricity generation capacity increased by 457 MW (2022 baseline: 0) (OP 3.1.4).
•  51-km transmission line and 220-kV substation constructed to connect the solar plant to the grid (2022 baseline: 0).
•  At least one set of dedicated facilities for women per adequate number of women employees constructed at Sherabad plant (2022 baseline: 0) (OP 2.4.1).
",431.20,55.45,55.45,0.00, -   
https://www.adb.org/projects/56085-001/main,Uzbekistan: Bash Wind Power Project (4293/FY2023). Construct a 500-MW grid-connected wind power project in the Bukhara region.,M,RE,100.0%,…,…," 1,658,000 ",500,"924,881","By 2025:
•  Electricity generated from renewable energy sources increased to 1,658 GWh per year (2022 baseline: 0).
•  Annual emissions of 924,881 tons of carbon dioxide avoided (2022 baseline: 0) (OP 3.1).
•  Total installed wind electricity generation capacity increased to 500 MW (2022 baseline: 0) (OP 3.1.4).",690.10,50.00,50.00,0.00, -   
https://www.adb.org/projects/56086-001/main,Uzbekistan: Dzhankeldy Wind Power Project (4294/FY2023). Construct a 500-MW grid-connected wind power project in the Bukhara region.,M,RE,100.0%,…,…," 1,577,000 ",500,"879,907","By 2025:
•  Electricity generated from sources increased to 1,577 GWh per year (2022 baseline: 0).
•  Annual emissions of 879,907 tons of carbon dioxide reduced (2022 baseline: 0) (OP 3.1).
•  Total installed wind electricity generation capacity increased to 500 MW (2022 baseline: 0) (OP 3.1.4).
",656.50,50.00,50.00,0.00, -   
https://www.adb.org/projects/55135-001/main,Uzbekistan: Samarkand Solar Power Project (4302/FY2023). Construct a 220-MW grid-connected solar power plant and associated infrastructure in the Samarkand region.,M,RE,100.0%,…,…," 554,000 ",220,"309,054","By 2026:
•   Electricity delivered to offtaker increased by 554 GWh per year (2022 baseline: 0).
•  Annual emissions of 309,054 tons of carbon dioxide reduced (2022 baseline: 0) (OP 3.1).
•  Total installed solar electricity generation capacity of the project increased to 220 MW (2022 baseline: 0) (OP 3.1.4).
•  4.5-kilometer feeder line and 220-kilovolt substation constructed to connect the solar plant to the grid (2022 baseline: 0).",202.20,31.43,31.43,0.00, -   
https://www.adb.org/projects/56245-001/main,"Viet Nam: GreenYellow Smart Solutions Rooftop Solar Project (4329/FY2023). Construct 45 rooftop solar photovoltaic systems located on the premises of large commercial and industrial consumers throughout Viet Nam, with a total installed capacity of 32.3 MW.",M,RE,100.0%,…,…," 31,500 ",32.3,,"By 2025:
•  Electricity delivered to offtakers increased to 31.5 GWh per year (2019 baseline: 0).
•  Total installed capacity of portfolio of 45 solar PV rooftop systems increased to 32.3 MWp by 2023 (2019 baseline: 0) (OP 3.1.4; OP 4.1.2).",not disclosedh,3.30,3.30,0.00, -   
https://www.adb.org/projects/55191-001/main,"Maldives: Accelerating Sustainable System Development Using Renewable Energy Project (4344/FY2023). Improve energy security and the sustainable transition of the power
sector. It will help 20 outer islands attain higher levels of renewable energy penetration through capital-intensive investments in energy storage and associated technologies to ensure island grids are ready for higher renewable energy penetration.",M,RE,100.0%,…,…,…,20,"22,047","By 2029:
•  Annual diesel consumption of at least 20 outer islands reduced by at least 45%,
totaling a saving of 8.6 million liters per year (2021 baseline: 2.1 million diesel savings based on current 10%–12% renewable penetration) (OP 3.1).
•  Share of clean energy sources in power generation mix in at least 20 outer islands
increased to 43% (2021 baseline: 12%–15%) (OP 3.1).
•  Carbon dioxide emissions of 22,047 tons per year avoided from switching from diesel-based generation to renewable-energy-based generation (2021 baseline: 5,800 avoided CO2 tons per year based on current 10%–12% renewable penetration) (OP 3.1).
By 2028:
•  At least 20 MW of solar photovoltaic systems from floating and terrestrial installations through private sector commissioned (2019 baseline: 0) (OP 3.1.3, 5.1.1).
•  At least 44 MWh of energy storage and energy management system installed (2018 baseline: Not applicable) (OP 3.1.3).
•  Distribution grids upgraded in 20 outer islands (2018 baseline: Not applicable) (OP 3.1.3, 5.1.1).",100.47,8.50,8.50,0.00, -   
https://www.adb.org/projects/57065-001/main,Philippines: Buskowitz Rooftop Solar Project (4367/FY2023). Construct a portfolio of rooftop photovoltaic power systems on commercial and industrial buildings in the Philippines of up to 70 MW.,M,RE,100.0%,…,…," 88,080 ",70,"54,347","By 2027:
Viability and sustainability of rooftop solar operation in the Philippines demonstrated.
•  Average annual electricity delivered to offtakers increased to 88.08 GWh per year (2022 baseline: 0).
•  Average annual greenhouse gas emissions of 54,347 tCO2 per year avoided (2022 baseline: 0) (OP 3.1).
•  Total installed electricity capacity of portfolio of rooftop solar power systems increased to 70 MW (2022 baseline: 0) (OP 3.1.4; OP 4.1.2).",not disclosedh,12.00,12.00,0.00, -   
https://www.adb.org/projects/57212-001/main,Uzbekistan: Bukhara Solar and Battery Energy Storage Project (4380/FY2023). Construct a 250-MW solar photovoltaic power system along with a 63-MW/126-MWh of battery storage and a 220-kV substation in the Bukhara region.,M,RE,100.0%,…,…," 555,000 ",250,"309,604","By 2025: 
•  Electricity delivered to offtaker increased by 555 GWh per year (2022 baseline: 0).  
•  Annual emissions of 309,604 tons of carbon dioxide reduced (2022 baseline: 0) (OP 3.1). 
•  Total installed solar electricity generation capacity increased by 250 MW (2022 baseline: 0) (OP 3.1.4).   
•  At least 63 MW storage capacity of battery energy storage system installed (2022 baseline: 0) (OP 3.1.5). 
•  A 220-kilovolt substation constructed and operated (2022 baseline: 0). 
•  Length of transmission line increased by 0.3 kilometers (2022 baseline: 0). ",315.70,63.60,63.60,0.00, -   
https://www.adb.org/projects/56344-001/main,Bangladesh: Paramount Solar Power Project (4394/FY2023). Construct a 100-MW grid-connected solar photovoltaic power plant in Pabna. ,M,RE,100.0%,…,…,"193,500",100,"93,654","By 2025:
•  Electricity delivered to offtaker is at least 193.5 GWh per year (FY2023 baseline: 0).
•  Annual greenhouse gas emissions of 93,654 tCO2 avoided (FY2023 baseline: 0) (OP 3.1).
•  Total installed electricity generation capacity of the solar power plant is 100 MW by FY2024 (FY2023 baseline:0) (OP 3.1.4).
•  21.5 kilometers of 132-kV transmission line installed by FY2024 (FY2023 baseline: 0).
•  One 132-kV substation constructed by FY2024 (FY2023 baseline: 0).",174.00,50.00,50.00,0.00, -   
https://www.adb.org/projects/57191-001/main,India: SAEL Gujarat Solar Power Project (4400/FY2023). Construct a 400-MW solar-photovoltaic power project located at Ultra Mega Renewable Energy Power Park in Gujarat.,M,RE,100.0%,…,…," 953,000 ",400,"783,855","By FY2026:
•  Renewable electricity delivered to the offtaker increased by 953 GWh per year (FY2023 baseline: 0).
•  Annual emission of 783,855 tons of carbon dioxide reduced (FY2023 baseline: 0) (OP 3.1).
•  Total installed solar electricity generation capacity of the project increased to 400 MW (2022 baseline: 0) (OP 3.1.4).
",303.37,147.04,147.04,0.00, -   
https://www.adb.org/projects/56241-001/main,Philippines: ACEN Sustainability-Linked Facility (4370/FY2023). Finance solar photovoltaic projects in the Philippines.,M,RE,100.0%,…,…," 450,000 ",300,"277,650","By 2029:
•  Additional electricity delivered to offtaker is at least 450 GWh per year (2022 baseline: 0).
•  Annual greenhouse gas emissions of 277,650 tCO2 avoided (2022 baseline: 0).
•  Additional installed renewable energy capacity is at least 300 MW (2022 baseline: 0).",not disclosedh,100.00,100.00,0.00, -   
https://www.adb.org/projects/57086-001/main,"Bangladesh: FPEBL Rooftop Solar Power Project (4458/FY2024). Construct and operate a portfolio of rooftop solar projects installed on commercial and industrial buildings of leading corporates in Dhaka, with a total capacity of up to 50 MW peak.",M,RE,100.0%,…,…," 60,000 ",50,"29,000","By 2027:
•  Electricity from solar power delivered to offtakers increased to at least 60.0 GWh per year  (FY2023 baseline: 0). 
•  Greenhouse gas emissions of at least 29,000 tCO2 avoided annually (FY2023 baseline: 0). 
•  Total installed solar electricity capacity increased to 50 MW peak.",28.27,5.04,5.04,0.00, -   
https://www.adb.org/projects/57072-001/main,India: Engie Solar Power Project (4445/FY2024). Construct and operate a 400 MW solar-photovoltaic power project in Gujarat.,M,RE,100.0%,25,…," 805,681 ",400,"662,441","By 2026:
•  Renewable electricity delivered to the offtaker increased by 805,681 MWh per year (FY2023 baseline: 0).
•  Annual emission of 662,441 tCO2 reduced (FY2023 baseline: 0).
•  Total installed solar electricity generation capacity of the project increased to 400 MW
(FY2023 baseline: 0).",221.30,88.50,88.50,0.00, -   
https://www.adb.org/projects/57173-001/main,Thailand: Gulf Solar and Solar with Battery Energy Storage Systems Project (4446/FY2024). Construct 8 ground-mounted solar photovoltaic (PV) plants with contracted capacity of 393 MW and 4 ground-mounted solar PV plants with battery energy storage with contracted capacity of 256 MW and 396 MW-hours of energy storage.,M,RE,100.0%,25,…," 1,465,000 ",649,"605,466",Additional install renewable energy capacity of 649 MW.,not disclosedh,278.58,278.58,0.00, -   
https://www.adb.org/projects/56325-001/main,Bhutan: Distributed Solar for Public Infrastructure Project (4491/FY2024). Construct up to 35 MW capacity of solar power systems on rooftops of public infrastructure across the country.,M,RE,100.0%,25,…," 49,000 ",35,"39,735","By 2030: 
•  Solar power generation increased by 49 GWh per year (2024 baseline: 0.74 GWh).
•  Emissions avoided by 39,735 tCO2 per year (2024 baseline: 0).
•  At least 100 critical public buildings with improved climate resilient energy supply (2024 baseline: 0).
By 2029: 
•  At least 35 MW of incremental capacity installed and operated in public infrastructure 
(2024 baseline: 0). ",34.00,30.00,30.00,0.00, -   
https://www.adb.org/projects/57006-001/main,"Solomon Islands: Renewable Energy Development Project (4478/FY2024). Aims to (i) improve energy security by increasing the clean energy share in the country's energy mix, which is dominated by fossil fuel generation; and (ii) contribute to sector reforms for better governance and public-private partnership (PPP) enabling environment in the development of renewable energy.",M,RE,100.0%,"25 (solar)
15 (battery energy storage system)",…," 3,000 ",2.5,"5,600","By 2030: 
•  At least 3 GWh of additional solar power generated annually (2024 baseline: 3 GWh). 
•  At least 5,600 tCO2e emissions avoided per year (2024 baseline: 0 tCO2e). 
By 2029: 
•  A 1 MWp grid-connected solar photovoltaic power plant installed at Guadalcanal (2024 
baseline: 1 MW).
•  Hybrid solar photovoltaic power plant (1.5 MWp solar photovoltaic and 1 MW/4 MWh 
battery energy storage system) installed in Malaita (2024 baseline: 0).
•  First utility-scale energy storage system (9 MW/24 MWh) installed and integrated 
into Honiara grid (2024 baseline: Not applicable).",42.00,10.00,10.00,0.00, -   
https://www.adb.org/projects/58220-001/main,Azerbaijan: Bilasuvar Solar Power Project (4537/FY2024). Construct and operate a 445 MW solar photovoltaic power plant in Bilasuvar.,M,RE,100.0%,30,…," 893,401 ",445,"426,152","•  Solar power generation increased by 893.401 GWh per year.
•  Emissions avoided by 426,152 tCO2 per year.
•  445 MW of incremental capacity installed. ",not disclosedh,50.00,50.00,0.00, -   
 ,Azerbaijan: Banka Solar Power Project (4536/FY2024). Construct and operate a 315 MW solar photovoltaic power plant in Banka.,M,RE,100.0%,30,…," 634,000 ",315,"302,972","By 2028:
•  Electricity delivered to offtaker is at least 634,207 megawatt-hour per year once the plant is fully operational (2023 baseline: 0).
•  Annual emissions of 302,972 tCO2 reduced once the plant is fully operational (2023 baseline: 0)
By 2027:
•  Total installed photovoltaic solar electricity generation capacity in Banka increased to 315 MW 
by 2027 (2023 baseline: 0) ",not disclosedh,35.00,35.00,0.00, -   
https://www.adb.org/projects/58109-001/main,Bangladesh: Muktagacha Solar Power Project (4529/FY2024).  Construct a 20 MW grid-connected solar photovoltaic power plant and associated infrastructure in Muktagacha.,M,RE,100.0%,20,…," 37,900 ",20,"18,344","By 2027:
•  Electricity delivered to offtaker increased to at least 37.9 GWh per year (2023 baseline: 0)
•  Annual greenhouse gas emissions avoided are at least 18,344 tCO2 (2023 baseline: 0)
•  Total installed electricity generation capacity of the solar power plant increased to 20 MW (2023 baseline: 0)
•  At least 8 kilometers of 33-kV transmission lines installed (2023 baseline: 0).",24.30,15.50,15.50,0.00, -   
